"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8526","Создаем заказ и нажимаем верхнею кнопку Заказать","tests","Sun Feb 23 23:45:50 MSK 2025","broken","Sun Feb 23 23:45:58 MSK 2025","","tests_orders","",""
"","540","Клик на лого сайта открывает главную страницу","tests","Sun Feb 23 23:46:02 MSK 2025","passed","Sun Feb 23 23:46:02 MSK 2025","","tests_orders","",""
"","295","Кликаем на каждый пункт вопросов и проверяем ответ на вопрос","tests","Sun Feb 23 23:44:53 MSK 2025","passed","Sun Feb 23 23:44:53 MSK 2025","","tests_faq","",""
"","300","Кликаем на каждый пункт вопросов и проверяем ответ на вопрос","tests","Sun Feb 23 23:45:01 MSK 2025","passed","Sun Feb 23 23:45:01 MSK 2025","","tests_faq","",""
"","3826","Создаем заказ с разными параметрами и нажимаем нижнею кнопку заказать","tests","Sun Feb 23 23:45:42 MSK 2025","passed","Sun Feb 23 23:45:46 MSK 2025","","tests_orders","",""
"","297","Кликаем на каждый пункт вопросов и проверяем ответ на вопрос","tests","Sun Feb 23 23:45:17 MSK 2025","passed","Sun Feb 23 23:45:17 MSK 2025","","tests_faq","",""
"","427","Страница Заказать открывается с главной страницы","tests","Sun Feb 23 23:45:30 MSK 2025","passed","Sun Feb 23 23:45:31 MSK 2025","","tests_orders","",""
"","292","Кликаем на каждый пункт вопросов и проверяем ответ на вопрос","tests","Sun Feb 23 23:45:13 MSK 2025","passed","Sun Feb 23 23:45:13 MSK 2025","","tests_faq","",""
"","302","Кликаем на каждый пункт вопросов и проверяем ответ на вопрос","tests","Sun Feb 23 23:45:21 MSK 2025","passed","Sun Feb 23 23:45:21 MSK 2025","","tests_faq","",""
"","303","Кликаем на каждый пункт вопросов и проверяем ответ на вопрос","tests","Sun Feb 23 23:45:05 MSK 2025","passed","Sun Feb 23 23:45:05 MSK 2025","","tests_faq","",""
"","2114","На главной странице кликаем на лого Яндекса, в новом окне открываемся dzen.ru","tests","Sun Feb 23 23:45:25 MSK 2025","passed","Sun Feb 23 23:45:27 MSK 2025","","tests_main_page","",""
"","304","Кликаем на каждый пункт вопросов и проверяем ответ на вопрос","tests","Sun Feb 23 23:45:09 MSK 2025","passed","Sun Feb 23 23:45:09 MSK 2025","","tests_faq","",""
"","306","Кликаем на каждый пункт вопросов и проверяем ответ на вопрос","tests","Sun Feb 23 23:44:57 MSK 2025","passed","Sun Feb 23 23:44:57 MSK 2025","","tests_faq","",""
"","3832","Создаем заказ с разными параметрами и нажимаем нижнею кнопку заказать","tests","Sun Feb 23 23:45:35 MSK 2025","passed","Sun Feb 23 23:45:38 MSK 2025","","tests_orders","",""
